ra	dec	FUV-NUV	J-K	H-K	NUV-H	NUV-R
18.54405286	-3.730148295	-100	0.453	0.055	7.326350784	5.876350784
18.46603343	-3.370608546	2.384777069	0.402	0.125	6.108948227	4.981948227
18.40553294	-3.199622763	-0.479372025	0.308	0.029	5.751321014	4.543321014
18.58174045	-3.009133705	2.41619873	2.531	1.648	3.781029205	-100
18.34370798	-2.90082588	-100	0.534	0.033	7.962286896	6.068286896
18.43412772	-2.57844782	2.865333557	1.077	0.531	6.392873047	-100
18.4988082	-2.3504543	-100	0.39	0.11	6.252871552	4.892871552
18.53500583	-2.210695821	-100	0.407	0.047	6.647668442	5.279668442
18.71023072	1.104833514	-100	0.379	0.048	6.294299286	5.011299286
18.65542447	1.181250866	6.026611328	2.165	1.705	1.106282272	-100
18.46524806	1.232573051	1.492811203	0.429	0.091	4.651866135	3.638866135
18.63122686	1.595417149	2.752374649	1.371	0.566	4.80377832	-100
18.52272175	-4.050584242	-100	0.36	0.077	6.333662247	5.194662247
18.61616967	1.695023986	3.742990494	0.971	0.506	5.406822906	-100
18.52675902	1.734256748	0.634538651	0.54	0.05	10.02074666	8.264746658
18.50637281	-1.859498867	2.856861115	1.29	0.9	5.968157791	-100
18.52404819	-3.742994812	1.239337921	1.449	0.759	4.592828583	-100
18.57453267	-4.080792915	1.727294922	0.44	0.108	6.553010025	5.264010025
18.3223226	-3.229490145	2.775382996	0.496	0.212	6.13517485	4.85617485
18.54529229	-2.516323958	5.424657822	0.341	0.041	6.804368805	5.445368805
18.46805198	-2.838135748	4.814115524	0.425	0.059	8.164997025	6.738997025
18.55995716	-3.911666245	-100	0.576	0.137	6.832228012	-100
18.39380366	-3.419556903	8.631435394	0.354	0.112	6.75126445	5.62526445
18.4677952	-3.288510141	3.496671677	0.489	0.107	5.74988858	-100
18.54540891	-2.746153468	-100	0.403	-0.001	5.744774384	4.439774384
18.49477581	-2.686731776	0.516944885	1.469	0.328	6.013365692	-100
18.31495688	-2.767327663	-100	0.513	0.139	8.317910065	6.734910065
18.46137835	-2.522721077	-100	0.441	0.051	6.882996399	-100
18.68565619	-2.452896606	1.548482895	0.558	0.082	6.131232773	-100
18.5624308	1.729151587	3.037878036	0.414	0.006	8.013094162	6.505094162
18.56157154	-2.477697436	-100	1.1	0.774	4.22732222	-100
18.48569492	0.981987735	0.075801849	1.058	0.494	5.493563843	-100
18.54225692	-2.327412869	0.246263504	0.318	0.011	5.328695419	-100
18.53886407	1.250847538	-100	15.513	15.168	4.694976074	-100
18.54081811	1.468404117	-100	0.271	0.038	5.110499863	4.155499863
18.43136266	-4.836583847	1.839347839	0.469	0.049	7.096126175	5.590126175
18.34176367	-4.123355779	2.227809906	0.266	-0.002	5.211794556	4.105794556
18.3680423	-3.935309211	7.880533218	0.252	0.017	5.411842789	4.454842789
18.43163154	-3.164015875	-100	0.507	0.058	9.150590958	7.522590958
18.43929122	-2.815223587	-0.221492767	1.752	0.605	5.361730316	-100
18.40747082	-2.784162465	0.469348907	0.453	0.188	6.879878479	-100
18.52560583	-2.592560863	4.548532486	0.593	0.105	8.326258698	6.469258698
18.32426734	-2.570444716	0.728881836	0.312	0.059	6.942833038	5.697833038
18.44969025	1.361099614	-100	0.343	-0.033	7.213302521	5.829302521
18.49066913	1.413150685	5.473955154	0.319	0.057	6.767816757	5.617816757
18.44859773	1.47251081	3.005332947	0.329	0.068	5.909425797	4.663425797
18.58428295	1.495013753	2.60449028	0.372	0.038	7.523410828	6.195410828
18.70422667	1.532587267	-100	0.384	-0.039	6.928811081	5.441811081
18.4845321	-3.650240943	4.020320892	0.995	0.371	4.014790298	-100
18.40378703	-3.423795868	-100	1.602	0.531	5.00113118	-100
18.38413899	-3.384714099	2.215969086	0.334	-0.053	6.762313812	5.420313812
18.42421018	-3.335827214	9.532337189	0.286	0.043	5.749143433	4.791143433
18.47318649	-3.245578851	10.82066345	0.361	0.102	5.195750763	4.097750763
18.43132598	-2.676794362	-100	0.44	0.027	7.314176483	5.745176483
18.6737205	-2.268534999	4.280647278	0.407	0.055	8.299095551	6.742095551
18.57471059	1.491282929	9.495985031	0.46	0.085	7.439404175	6.103404175
18.71512633	1.561094862	4.265296936	0.41	0.049	6.025582306	4.757582306
18.52736645	1.632476643	0.859079361	1.248	0.601	6.449596008	-100
18.65723339	1.716948494	-100	0.328	0.099	5.938737396	4.746737396
18.51908302	-3.876509389	2.621826172	0.479	0.11	6.755907806	5.430907806
18.52866791	-3.203017555	-100	0.513	0.067	8.625245819	7.057245819
18.34535888	-2.660780677	3.656541824	0.473	0.116	8.833884323	7.231884323
18.34647422	-2.550654905	-100	0.711	0.212	11.08333379	-100
18.51564163	-2.436411359	2.076726913	0.459	0.092	6.922115616	5.476115616
18.57534583	1.744681953	-100	0.415	0.041	7.390362244	5.939362244
18.57021282	-3.700463391	1.743642807	0.87	0.225	6.08736702	-100
18.54595035	1.501763367	11.82778168	0.294	0.032	4.968820404	-100
18.5441471	1.621510403	1.978357315	1.798	0.679	5.221753006	-100
18.56882537	1.811277722	5.707056046	0.427	0.053	6.240509308	4.869509308
18.59682847	-2.18644881	-0.066516876	0.448	0.033	6.871894928	5.363894928
18.66040173	-2.037734968	-100	0.337	0.022	6.576669876	5.254669876
18.4863366	-1.63462214	3.239435196	0.486	0.077	8.515542679	6.904542679
18.52781836	-4.500598932	3.57806015	0.412	0.069	6.84118898	5.42718898
18.49588787	-4.360425272	5.356813431	0.544	0.124	8.8408535	7.1058535
18.44834399	-4.029464487	-100	0.292	0.085	4.902831833	3.919831833
18.47853852	-3.916286622	2.029027939	0.31	0.089	4.533689804	3.483689804
18.43547561	-3.753193686	0.951002121	0.592	0.276	5.974362595	-100
18.31949531	-3.744926604	2.126825333	0.622	0.091	9.65777597	7.91277597
18.361633	-3.289708408	4.240047455	0.408	0.102	6.53973233	5.30873233
18.34570331	-3.146491438	3.172386169	0.452	0.008	7.211833298	5.710833298
