ra	dec
18.34370798	-2.90082588
18.43412772	-2.57844782
18.63122686	1.595417149
18.61616967	1.695023986
18.52675902	1.734256748
18.50637281	-1.859498867
18.52404819	-3.742994812
18.3223226	-3.229490145
18.55995716	-3.911666245
18.49477581	-2.686731776
18.31495688	-2.767327663
18.68565619	-2.452896606
18.56157154	-2.477697436
18.48569492	0.981987735
18.43163154	-3.164015875
18.43929122	-2.815223587
18.52560583	-2.592560863
18.4845321	-3.650240943
18.40378703	-3.423795868
18.52736645	1.632476643
18.52866791	-3.203017555
18.57021282	-3.700463391
18.5441471	1.621510403
18.49588787	-4.360425272
18.43547561	-3.753193686
18.31949531	-3.744926604
18.53392711	-3.429801288
18.44933379	-4.727964594
18.55864722	-4.592257113
18.54859539	-3.70695969
18.50604484	-3.454628016
18.33470792	-3.315174552
18.5187709	-3.245837559
18.38358836	-3.292558571
18.49724062	-3.224248134
18.51366245	-2.756626033
18.48202929	-2.685121225
18.51411482	-2.232870224
18.54144889	-2.658887945
18.32062164	-2.59343574
18.59343674	-2.47956908
18.69682205	1.121404471
18.48746438	1.007167914
18.48381039	-2.450181401
18.49283495	1.541850475
18.55555674	1.156827562
18.5437063	1.497980952
18.53664996	1.592648538
18.67630078	-0.105661406
18.63843651	1.212579663
18.58304678	1.37101669
18.6991046	1.474007917
18.52455624	-1.669493256
18.33887174	-4.484664786
18.58078117	-4.612329781
18.52932621	-4.969554342
18.30351841	-4.40161323
18.5121579	-4.376263473
18.53534133	-4.072345655
18.41479204	-3.947401963
18.31232533	-4.684222269
18.41130157	-4.360001109
18.54151894	-4.357694439
18.33979964	-3.92319425
18.57359027	-3.774452679
18.50840577	-3.617169766
18.38071155	-4.563572313
18.3597214	-4.003652339
18.34247212	-4.757121231
18.45896052	-1.786524268
18.52276089	-4.204208441
18.42569309	-3.086593275
18.58991784	-3.258599425
18.47030462	-3.621271042
18.46661625	-3.422577636
18.40617893	-4.232883363
18.45436754	-4.924292142
18.47441848	1.464201999
18.54895408	-1.764095426
18.51903996	-1.688731978
18.48399234	-3.999684395
18.38713393	-3.289986629
18.41457986	-3.534245695
18.693565	0.579091352
18.43436419	-4.944413906
18.49109834	-3.206123461
18.56601854	0.882109402
18.45979088	0.884804454
18.46664003	0.755577751
18.33760945	-4.075777119
18.61826961	0.247406669
18.44984338	-2.411314483
18.30822483	-3.225999581
18.47328164	0.760066064
18.41042618	-3.1532676
18.66211527	-0.801140789
18.52171732	-3.089148234
18.49799992	-3.201726716
18.62689975	-1.510011365
18.46359741	-1.331792791
18.35324298	-2.767715191
18.6782287	0.735941741
18.71429884	-1.456249363
18.6748662	-1.367633633
18.48395503	-1.081400507
18.45763801	-1.363171314
18.69981874	-1.031938076
18.44138771	0.945662868
18.47401114	1.037264436
18.46533499	1.08655326
18.67516993	1.438936801
18.59727121	-0.784178925
18.65163784	-0.026498364
18.38304363	-3.313962474
18.4384406	-3.081759246
18.55969016	-3.055969627
18.38042445	-4.208626464
18.50212434	-1.394568571
18.37610473	-3.661360416
18.44554853	-1.343033828
18.62367363	-1.324785543
18.47646791	-0.732074105
18.61441597	-1.275953128
18.5083527	-2.766979053
18.35884564	-3.945260495
18.30342055	-4.052996511
18.45398145	-1.537988204
18.54399706	-2.372561621
18.47766056	1.009248916
18.66107511	-1.020510413
18.44243892	-0.949407237
18.38727196	-4.171063739
18.44032433	1.0650143
18.52309157	1.683762305
18.46869508	-1.737295541
18.58053162	-1.04719962
18.68952431	-2.416417785
18.56399157	-2.379904541
18.57014791	-2.226849641
18.50905139	-0.844818139
18.6321147	0.152675907
18.62417289	0.204888723
18.66304766	1.238365458
18.64594993	-1.229439783
18.62047234	0.283530389
18.50827233	1.520960739
18.46172609	-0.754689274
18.55175436	-0.739682081
18.53401844	-0.73344176
18.47625628	-0.701951259
18.47684261	1.291553959
18.57789016	1.687670656
18.56970667	1.212930822
18.60295764	0.40813246
18.6295106	-0.836072392
18.46583171	-0.241923875
18.69574088	-0.050167058
18.54416452	-0.452017875
18.56439672	-0.367445087
18.49181824	-1.051367778
18.69737723	-0.927057698
18.63386859	-0.781259429
18.48564523	-0.559950665
18.56454604	-1.934929142
18.64313086	-0.484239645
18.36301978	-4.792890566
18.48014469	-1.995222529
18.47983502	-1.729151115
18.63042407	0.476306658
18.49968693	0.799025503
18.56472907	-1.449477566
18.57903734	-0.314601374
18.57445703	0.106137882
18.44944985	-0.842423411
18.68979505	0.536490515
18.62413533	0.674898094
18.51528411	-3.112882748
18.52572806	-0.41609365
18.7093508	0.246248353
18.57144777	-0.921781686
18.48369648	-1.084119131
18.50828816	-0.684642342
18.46603646	-0.610801414
18.66037334	-0.617396793
18.48245712	-3.055834922
18.5311998	-3.032927568
18.40198006	-2.761264203
18.54501018	-0.255131491
18.50598024	-0.249703396
