casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag
							--------	--------	------	------	------	------		------	------	------
-1016829400	2.56522E+18	278.2000726	0.591845367	2.115490437	18.79394913	20.33872795										
-1016829399	2.56522E+18	278.1882304	0.56214563	2.028760433	21.76543045	99										
-1016829381	2.56522E+18	278.1917352	0.554853861	2.028760433	17.92806435	22.47500038	15.1	12.6	13.203	12.507	12.255	12.045		11.043	10.681	10.657
-1016829357	2.56522E+18	278.2451689	0.436675861	1.899647355	22.66939735	99								15.695	14.685	14.387
-1016829322	2.56522E+18	278.2209399	0.345739669	1.944280863	21.13917732	22.35495758	15.8	-1.1	14.259	13.191	12.821	12.468		11.404	10.907	10.626
-1016829321	2.56522E+18	278.2739463	0.417198048	1.879667878	14.86174965	20.15735435	6	-6	10.97	10.636	      	10.291		9.543	9.273	9.238
-1016829319	2.56522E+18	278.2525253	0.337738373	1.944280863	22.7608757	99										
-1016829317	2.56522E+18	278.2619237	0.33801011	1.944280863	22.75542831	23.99723053										
-1016829316	2.56522E+18	278.2771023	0.33804664	1.928588986	22.47846603	25.07857132										
-1016829308	2.56522E+18	278.1839869	0.32831953	1.970995545	18.63909721	19.24302864	-6.6	-1.7	13.507	12.403	11.969	11.36		9.761	9.416	9.248
-1016829282	2.56522E+18	278.2651987	0.256740899	2.049341917	22.74235916	99										
-1016829267	2.56522E+18	278.2876527	0.203384856	2.165208101	22.873909	99										
-1016829266	2.56522E+18	278.2813684	0.203704216	2.165208101	21.75965691	99										
-1016829264	2.56522E+18	278.2848519	0.213872106	2.095119715	18.21454811	23.42045212	-15.2	-13.8	12.796	11.795	11.445	11.038		10.023	9.669	9.398
-1016829259	2.56522E+18	278.283959	0.166616331	2.129925489	21.18799019	99	        	        	      	      	      					
-1016829252	2.56522E+18	278.1852876	0.144864147	2.164168835	20.11364746	99										
-1016829236	2.56522E+18	278.1918738	0.074198254	2.251180887	22.55746841	99	-27.9	-34.4	14.278	13.392	13.088	12.816		11.644	11.237	11.121
-1016829235	2.56522E+18	278.2209866	0.088335344	2.259558916	19.18916893	24.76900864										
-1016829228	2.56522E+18	278.2451061	0.040287432	2.223849773	22.17156601	99	-3.7	8.2	13.137	12.293	11.976	11.726		10.635	10.201	10.051
-1016829225	2.56522E+18	278.2415041	0.034121808	2.236374855	22.33720398	23.54359245										
-1016829213	2.56522E+18	278.2163756	-0.001182207	2.182155609	21.40462685	99										
-1016829212	2.56522E+18	278.2209244	-0.00229746	2.182155609	21.67468643	24.14079285										
-1016829210	2.56522E+18	278.2121949	-0.00127315	2.182155609	20.38628387	99										
-1016899671	6.37545E+18	271.7371322	-1.926345165	1.492911458	20.73138237	22.4089756										
-1016899665	6.37545E+18	271.7355001	-2.081300195	1.357411623	18.5949688	22.29190826	1.8	-13.1	14.177	13.162	12.797	12.455		11.222	10.679	10.621
-1016899661	6.37545E+18	271.728584	-2.110885129	1.321833372	18.8445282	18.91118813								9.959	9.612	9.474
-1016899656	6.37545E+18	271.7771801	-2.171545039	1.317945361	19.07939339	21.64214897	5.1	0.3	13.674	12.665	12.33	11.852		10.462	10.167	10.01
-1016899655	6.37545E+18	271.7418533	-2.127620782	1.321833372	13.79404926	20.03974724	33.5	-23.1	9.589	9.244	9.091	8.609		7.862	7.612	7.551
-1016899654	6.37545E+18	271.5757361	-2.219276081	1.341736674	19.55640221	22.4959259	-19.8	-10.1	14.27	13.334	13.044	12.695		11.411	11.036	10.926
-1016899651	6.37545E+18	271.7201885	-2.315447977	1.365918159	17.91630173	22.97515106	-3.6	-13.4	12.463	11.457	11.111	10.672		9.171	8.896	8.696
-1016899647	6.37545E+18	271.5810001	-2.356953756	1.375209212	19.05059242	99	-0.6	-27.8	13.167	12.314	12.042	11.791		10.683	10.338	10.247
-1016899644	6.37545E+18	271.5624664	-2.371488551	1.393681169	19.40115929	22.26380348	-60	-33.3	14.172	13.211	12.914	12.531		11.212	10.814	10.719
-1016899643	6.37545E+18	271.786889	-2.398652296	1.350991726	19.55857468	99	1.1	2.3	13.735	12.688	12.322	11.829		10.415	10.125	9.95
-1016899642	6.37545E+18	271.7411872	-2.400790531	1.361067414	18.30102921	99	-5.7	-1.9	13.114	12.313	12.061	11.77		10.636	10.269	10.136
-1016899638	6.37545E+18	271.7289768	-2.439455478	1.405098438	19.18031693	99	12.8	0.2	12.826	11.792	11.445	11.058		9.729	9.299	9.181
-1016899636	6.37545E+18	271.6975616	-2.392784068	1.379281282	14.55582142	17.25562096	8.5	-2.6	10.803	10.341	10.268	10.171		9.355	9.17	9.102
-1016899625	6.37545E+18	271.7882299	-2.643112122	1.516292334	17.98208046	22.01310158	0.9	10.9	12.437	11.447	11.119	10.687		9.387	9.034	8.873
-1016868978	6.37545E+18	270.9757976	-0.260961624	0.401445478	19.74526596	19.97109795	-9.4	-6.4	16.739	15.99	      			15.357	15.257	15.126
-1016868964	6.37545E+18	271.0017919	-0.274229997	0.401445478	20.03055573	21.48358727	-6.1	-0.3	16.67	16.013	      			15.117	15.077	14.869
-1016868939	6.37545E+18	270.9852774	-0.291031984	0.401445478	19.48254967	20.08354759								15.885	15.721	15.27
-1016868929	6.37545E+18	270.9803151	-0.304566075	0.413244188	20.55854988	99										
-1016868909	6.37545E+18	270.9726402	-0.30532983	0.413244188	18.85072708	19.27742958										
-1016868900	6.37545E+18	271.0333646	-0.328759601	0.406651855	20.23950768	21.61108398	-5.8	1.8	13.2	12.002	11.611	11.106		9.544	8.949	8.827
-1016868894	6.37545E+18	270.9794288	-0.338453526	0.432010978	21.36057281	23.00559998	3.8	-2.6	16.48	15.671	15.358	15.118		13.701	13.384	13.263
-1016868886	6.37545E+18	271.1052965	-0.32060723	0.43413353	21.10897827	22.07300568								16.447	16.149	16.293
-1016868879	6.37545E+18	271.132263	-0.353204569	0.424161434	22.10861969	99								15.608	15.126	14.928
-1016868877	6.37545E+18	271.0287468	-0.355085844	0.412268341	21.89405823	99										
-1016868875	6.37545E+18	271.0032014	-0.3523006	0.412268341	21.16765022	22.61996269	-3.9	-5.1	      	      	      			13.268	12.665	12.46
-1016868872	6.37545E+18	271.168555	-0.358112094	0.431292236	21.62033081	22.32484818	0.4	-0.3	      	      	      			14.297	13.997	13.788
-1016868871	6.37545E+18	271.3664966	-0.357576268	0.416419744	21.88421631	99										
-1016868869	6.37545E+18	270.9981656	-0.35586515	0.431198925	20.01783562	20.84002686								15.43	15.231	15.653
-1016868867	6.37545E+18	271.0099182	-0.357951632	0.412268341	21.85642052	99										
-1016868866	6.37545E+18	271.2888204	-0.358583869	0.422977448	20.45928955	23.31755066	-6.4	-1.3	15.323	14.483	14.196	13.917		12.577	12.232	12.127
-1016868861	6.37545E+18	271.2813118	-0.355604635	0.422977448	17.96923065	22.22428894	-10.1	-21.5	13.39	12.692	12.445	12.164		11.331	11.028	10.931
-1016868859	6.37545E+18	271.2574076	-0.367595228	0.428501189	22.23581696	25.60460663										
-1016868851	6.37545E+18	271.2426901	-0.371349447	0.431114048	20.78975868	22.47698212	-13.4	2.1	16.383	15.526	15.297	15.096		13.967	13.725	13.547
-1016868850	6.37545E+18	271.3039023	-0.361499079	0.422977448	17.4513588	99	-25	-32.9	11.745	10.949	10.693	10.416		9.274	8.9	8.718
-1016868849	6.37545E+18	271.2239087	-0.369284509	0.431114048	19.92002869	99	        	        	      	      	      			12.454	12.17	12.047
-1016868847	6.37545E+18	270.9903189	-0.358050652	0.431198925	20.13315964	23.19962502	28.3	9.3	14.895	14.032	13.8	13.431		12.102	11.702	11.592
-1016868842	6.37545E+18	271.0999049	-0.374184758	0.417585015	19.85652733	99	-1.1	7.8	13.877	13.026	12.68	12.423		11.223	10.788	10.692
-1016868840	6.37545E+18	271.199743	-0.370407678	0.428133041	21.39295578	24.36525345	-1.4	-38.4	15.397	14.421	14.06	13.724		12.353	11.912	11.79
