casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag					
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag					
							--------	--------	------	------	------	------		------	------	------	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016829400	2.56522E+18	278.2000726	0.591845367	2.115490437	18.79394913	20.33872795											1.544778824	-100	-100	-100	-100
-1016829399	2.56522E+18	278.1882304	0.56214563	2.028760433	21.76543045	99											-100	-100	-100	-100	-100
-1016829381	2.56522E+18	278.1917352	0.554853861	2.028760433	17.92806435	22.47500038	15.1	12.6	13.203	12.507	12.255	12.045		11.043	10.681	10.657	4.546936035	7.247064346	5.673064346	0.386	0.024
-1016829357	2.56522E+18	278.2451689	0.436675861	1.899647355	22.66939735	99								15.695	14.685	14.387	-100	7.984397354	-100	1.308	0.298
-1016829322	2.56522E+18	278.2209399	0.345739669	1.944280863	21.13917732	22.35495758	15.8	-1.1	14.259	13.191	12.821	12.468		11.404	10.907	10.626	1.215780258	10.23217732	8.318177322	0.778	0.281
-1016829321	2.56522E+18	278.2739463	0.417198048	1.879667878	14.86174965	20.15735435	6	-6	10.97	10.636	      	10.291		9.543	9.273	9.238	5.295604706	5.588749649	#ЗНАЧ!	0.305	0.035
-1016829319	2.56522E+18	278.2525253	0.337738373	1.944280863	22.7608757	99											-100	-100	-100	-100	-100
-1016829317	2.56522E+18	278.2619237	0.33801011	1.944280863	22.75542831	23.99723053											1.241802216	-100	-100	-100	-100
-1016829316	2.56522E+18	278.2771023	0.33804664	1.928588986	22.47846603	25.07857132											2.600105286	-100	-100	-100	-100
-1016829308	2.56522E+18	278.1839869	0.32831953	1.970995545	18.63909721	19.24302864	-6.6	-1.7	13.507	12.403	11.969	11.36		9.761	9.416	9.248	0.603931427	9.223097214	6.670097214	0.513	0.168
-1016829282	2.56522E+18	278.2651987	0.256740899	2.049341917	22.74235916	99											-100	-100	-100	-100	-100
-1016829267	2.56522E+18	278.2876527	0.203384856	2.165208101	22.873909	99											-100	-100	-100	-100	-100
-1016829266	2.56522E+18	278.2813684	0.203704216	2.165208101	21.75965691	99											-100	-100	-100	-100	-100
-1016829264	2.56522E+18	278.2848519	0.213872106	2.095119715	18.21454811	23.42045212	-15.2	-13.8	12.796	11.795	11.445	11.038		10.023	9.669	9.398	5.205904007	8.545548111	6.769548111	0.625	0.271
-1016829259	2.56522E+18	278.283959	0.166616331	2.129925489	21.18799019	99	        	        	      	      	      						-100	-100	#ЗНАЧ!	-100	-100
-1016829252	2.56522E+18	278.1852876	0.144864147	2.164168835	20.11364746	99											-100	-100	-100	-100	-100
-1016829236	2.56522E+18	278.1918738	0.074198254	2.251180887	22.55746841	99	-27.9	-34.4	14.278	13.392	13.088	12.816		11.644	11.237	11.121	-100	11.32046841	9.469468414	0.523	0.116
-1016829235	2.56522E+18	278.2209866	0.088335344	2.259558916	19.18916893	24.76900864											5.579839706	-100	-100	-100	-100
-1016829228	2.56522E+18	278.2451061	0.040287432	2.223849773	22.17156601	99	-3.7	8.2	13.137	12.293	11.976	11.726		10.635	10.201	10.051	-100	11.97056601	10.19556601	0.584	0.15
-1016829225	2.56522E+18	278.2415041	0.034121808	2.236374855	22.33720398	23.54359245											1.206388474	-100	-100	-100	-100
-1016829213	2.56522E+18	278.2163756	-0.001182207	2.182155609	21.40462685	99											-100	-100	-100	-100	-100
-1016829212	2.56522E+18	278.2209244	-0.00229746	2.182155609	21.67468643	24.14079285											2.466106415	-100	-100	-100	-100
-1016829210	2.56522E+18	278.2121949	-0.00127315	2.182155609	20.38628387	99											-100	-100	-100	-100	-100
-1016899671	6.37545E+18	271.7371322	-1.926345165	1.492911458	20.73138237	22.4089756											1.677593231	-100	-100	-100	-100
-1016899665	6.37545E+18	271.7355001	-2.081300195	1.357411623	18.5949688	22.29190826	1.8	-13.1	14.177	13.162	12.797	12.455		11.222	10.679	10.621	3.696939468	7.915968796	5.797968796	0.601	0.058
-1016899661	6.37545E+18	271.728584	-2.110885129	1.321833372	18.8445282	18.91118813								9.959	9.612	9.474	0.066659927	9.232528198	-100	0.485	0.138
-1016899656	6.37545E+18	271.7771801	-2.171545039	1.317945361	19.07939339	21.64214897	5.1	0.3	13.674	12.665	12.33	11.852		10.462	10.167	10.01	2.562755585	8.912393387	6.749393387	0.452	0.157
-1016899655	6.37545E+18	271.7418533	-2.127620782	1.321833372	13.79404926	20.03974724	33.5	-23.1	9.589	9.244	9.091	8.609		7.862	7.612	7.551	6.245697975	6.182049263	4.703049263	0.311	0.061
-1016899654	6.37545E+18	271.5757361	-2.219276081	1.341736674	19.55640221	22.4959259	-19.8	-10.1	14.27	13.334	13.044	12.695		11.411	11.036	10.926	2.939523697	8.520402206	6.512402206	0.485	0.11
-1016899651	6.37545E+18	271.7201885	-2.315447977	1.365918159	17.91630173	22.97515106	-3.6	-13.4	12.463	11.457	11.111	10.672		9.171	8.896	8.696	5.058849335	9.020301727	6.805301727	0.475	0.2
-1016899647	6.37545E+18	271.5810001	-2.356953756	1.375209212	19.05059242	99	-0.6	-27.8	13.167	12.314	12.042	11.791		10.683	10.338	10.247	-100	8.712592422	7.008592422	0.436	0.091
-1016899644	6.37545E+18	271.5624664	-2.371488551	1.393681169	19.40115929	22.26380348	-60	-33.3	14.172	13.211	12.914	12.531		11.212	10.814	10.719	2.862644196	8.587159286	6.487159286	0.493	0.095
-1016899643	6.37545E+18	271.786889	-2.398652296	1.350991726	19.55857468	99	1.1	2.3	13.735	12.688	12.322	11.829		10.415	10.125	9.95	-100	9.433574677	7.236574677	0.465	0.175
