ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
278.2451689,0.436675861,22.66939735,99,,,,,15.695,14.685,14.387,0.3,1.899647355,415,---
278.2209399,0.345739669,21.13917732,22.35495758,14.259,13.191,12.821,12.468,11.404,10.907,10.626,0.3,1.944280863,415,22.35495758
271.0017919,-0.274229997,20.03055573,21.48358727,16.67,16.013,,,15.117,15.077,14.869,0.3,0.401445478,415,21.48358727
270.9852774,-0.291031984,19.48254967,20.08354759,,,,,15.885,15.721,15.27,0.3,0.401445478,415,20.08354759
271.0032014,-0.3523006,21.16765022,22.61996269,,,,,13.268,12.665,12.46,0.3,0.412268341,415,22.61996269
271.168555,-0.358112094,21.62033081,22.32484818,,,,,14.297,13.997,13.788,0.3,0.431292236,415,22.32484818
271.0235697,-0.402483469,21.70036697,23.83948898,,,,,13.097,12.55,12.334,0.3,0.428464621,415,23.83948898
271.0508227,-0.406597672,20.5342617,21.19879723,,,,,15.435,15.246,15.038,0.3,0.428464621,415,21.19879723
270.0042784,-1.743179937,18.42268181,21.50870895,13.562,12.577,12.324,12.017,11.275,11.034,10.756,0.3,0.645717919,415,21.50870895
270.1197235,-1.979941711,21.90946198,99,,,,,16.692,15.732,15.222,0.3,0.604097009,415,---
270.0118937,-2.191285547,20.84310341,23.48697281,13.234,11.741,11.242,10.667,9.123,8.374,8.23,0.3,0.661936879,415,23.48697281
270.1522718,-2.351401951,20.88944626,25.45925522,,,,,13.795,13.267,13.081,0.3,0.755346656,415,25.45925522
276.6242169,1.916832046,22.84575844,99,,,,,15.926,15.292,15.004,0.3,1.37548399,415,---
276.6263504,1.946525216,22.93483353,25.38091278,,,,,15.014,14.204,14.016,0.3,1.360761523,415,25.38091278
276.4417781,1.815982705,22.10957909,23.60806274,16.29,14.977,14.488,,12.301,11.811,11.594,0.3,1.16022563,415,23.60806274
276.6778777,1.737841242,22.35280418,23.01847839,,,,,14.675,13.909,13.69,0.3,1.376039267,415,23.01847839
276.5198908,1.722159119,20.68604469,23.48166275,14.668,13.49,13.019,12.508,10.901,10.524,10.291,0.3,1.286506295,415,23.48166275
276.5107228,1.588770889,21.36906433,22.84452438,11.477,9.286,,,5.116,3.936,3.708,0.3,1.328606129,415,22.84452438
276.5222931,1.531153914,22.14704895,99,,,,,12.744,12.164,12.037,0.3,1.296909809,415,---
276.4510172,1.51187321,22.04235077,99,,,,,16.098,15.403,15.233,0.3,1.330933571,415,---
276.1752237,1.951802657,22.75850868,23.64685822,16.409,15.086,14.575,14.104,12.272,11.783,11.576,0.3,1.065746427,415,23.64685822
276.0103708,1.832402675,22.86471939,99,,,,,14.113,13.598,13.405,0.3,1.215411425,415,---
271.8584373,-2.032883265,20.17487144,22.33922768,14.268,13.087,12.674,12.103,10.658,10.293,10.078,0.3,1.330011368,415,22.33922768
271.8872297,-2.229961226,20.859375,22.36009979,13.83,12.675,12.182,11.693,10.278,9.685,9.495,0.3,1.370666981,415,22.36009979
272.0430759,-2.321806979,18.53219414,18.13042068,16.761,15.592,15.102,14.243,12.523,11.778,11.637,0.3,1.445789099,415,18.13042068
271.9078807,-2.677412067,20.34657288,23.10036469,12.329,10.851,10.3,9.603,7.872,7.189,7.013,0.3,1.510778308,415,23.10036469
272.3761693,-1.094472208,21.84477425,99,,,,,15.347,14.502,14.226,0.3,1.131427526,415,---
272.2735786,-1.219339662,18.53242111,23.44887352,13.803,12.928,12.597,11.918,9.648,8.392,7.982,0.3,1.170778036,415,23.44887352
272.6801117,-1.4094383,21.2934761,21.75057793,,,,,15.405,14.374,14.183,0.3,1.471309662,415,21.75057793
272.8348802,-1.475783048,22.14883041,99,,,,,16.641,15.761,15.046,0.3,1.613745093,415,---
272.8945363,-1.594500145,22.08701134,99,,,,,16.204,15.368,14.668,0.3,1.57524693,415,---
272.8609588,-1.691236287,22.14180183,99,,,,,16.205,15.519,15.261,0.3,1.657254815,415,---
272.9265186,-1.790687226,21.822155,23.3208313,,,,,14.298,13.226,12.948,0.3,1.635481,415,23.3208313
272.8691648,-0.517532918,22.07317352,99,,,,,15.944,15.116,14.954,0.3,0.746046066,415,---
272.968594,-0.533664281,21.8441925,99,,,,,15.789,15.347,14.86,0.3,0.746353149,415,---
270.3435033,-2.076491403,21.66927719,22.10770607,13.592,11.794,11.307,10.739,9.171,8.553,8.346,0.3,0.694345236,415,22.10770607
270.3476713,-2.172446457,21.06147575,22.23663902,,,,,9.671,8.974,8.771,0.3,0.744712114,415,22.23663902
270.2490313,-2.27523218,21.53369713,26.05636597,14.052,12.27,11.832,11.189,9.428,8.744,8.574,0.3,0.764553428,415,26.05636597
270.3074585,-2.391076912,20.22072411,22.12691116,13.082,11.498,10.975,10.351,8.799,8.155,7.981,0.3,0.800754488,415,22.12691116
270.2843885,-0.083733442,21.50186348,22.08071518,16.7,15.505,15.091,14.561,13.534,12.963,12.772,0.3,0.395161629,415,22.08071518
270.2636812,-0.165562236,21.97137833,22.80067062,,,,,15.628,15.385,15.085,0.3,0.43764466,415,22.80067062
