n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
1,2.56522E+18,278.2451689,0.436675861,1.899647355,22.66939735,---,,,,,15.695,14.685,14.387,0.3,415
2,2.56522E+18,278.2209399,0.345739669,1.944280863,21.13917732,22.35495758,14.259,13.191,12.821,12.468,11.404,10.907,10.626,0.3,415
3,6.37545E+18,270.9852774,-0.291031984,0.401445478,19.48254967,20.08354759,,,,,15.885,15.721,15.27,0.3,415
4,6.37545E+18,271.0032014,-0.3523006,0.412268341,21.16765022,22.61996269,,,,,13.268,12.665,12.46,0.3,415
5,6.3756E+18,270.0042784,-1.743179937,0.645717919,18.42268181,21.50870895,13.562,12.577,12.324,12.017,11.275,11.034,10.756,0.3,415
6,6.3756E+18,270.1197235,-1.979941711,0.604097009,21.90946198,---,,,,,16.692,15.732,15.222,0.3,415
7,6.3756E+18,270.0118937,-2.191285547,0.661936879,20.84310341,23.48697281,13.234,11.741,11.242,10.667,9.123,8.374,8.23,0.3,415
8,2.56515E+18,276.6242169,1.916832046,1.37548399,22.84575844,---,,,,,15.926,15.292,15.004,0.3,415
9,2.56515E+18,276.6263504,1.946525216,1.360761523,22.93483353,25.38091278,,,,,15.014,14.204,14.016,0.3,415
10,2.56515E+18,276.6778777,1.737841242,1.376039267,22.35280418,23.01847839,,,,,14.675,13.909,13.69,0.3,415
11,2.56515E+18,276.5107228,1.588770889,1.328606129,21.36906433,22.84452438,11.477,9.286,,,5.116,3.936,3.708,0.3,415
12,2.56515E+18,276.4510172,1.51187321,1.330933571,22.04235077,---,,,,,16.098,15.403,15.233,0.3,415
13,6.37545E+18,272.0430759,-2.321806979,1.445789099,18.53219414,18.13042068,16.761,15.592,15.102,14.243,12.523,11.778,11.637,0.3,415
14,6.37545E+18,271.9078807,-2.677412067,1.510778308,20.34657288,23.10036469,12.329,10.851,10.3,9.603,7.872,7.189,7.013,0.3,415
15,6.37545E+18,272.3761693,-1.094472208,1.131427526,21.84477425,---,,,,,15.347,14.502,14.226,0.3,415
16,6.37545E+18,272.2735786,-1.219339662,1.170778036,18.53242111,23.44887352,13.803,12.928,12.597,11.918,9.648,8.392,7.982,0.3,415
17,6.37545E+18,272.6801117,-1.4094383,1.471309662,21.2934761,21.75057793,,,,,15.405,14.374,14.183,0.3,415
18,6.37545E+18,272.8348802,-1.475783048,1.613745093,22.14883041,---,,,,,16.641,15.761,15.046,0.3,415
19,6.37545E+18,272.8945363,-1.594500145,1.57524693,22.08701134,---,,,,,16.204,15.368,14.668,0.3,415
