casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag	Jmag	Hmag	Kmag	IR	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016829357	2.56522E+18	278.2451689	0.436675861	1.899647355	22.66939735	99							15.695	14.685	14.387		-100	7.984397354	-100	1.308	0.298
-1016829322	2.56522E+18	278.2209399	0.345739669	1.944280863	21.13917732	22.35495758	15.8	-1.1	14.259	13.191	12.821	12.468	11.404	10.907	10.626		1.215780258	10.23217732	8.318177322	0.778	0.281
-1016868964	6.37545E+18	271.0017919	-0.274229997	0.401445478	20.03055573	21.48358727	-6.1	-0.3	16.67	16.013			15.117	15.077	14.869		1.45303154	4.953555725		0.248	0.208
-1016868939	6.37545E+18	270.9852774	-0.291031984	0.401445478	19.48254967	20.08354759							15.885	15.721	15.27		0.600997925	3.761549667	-100	0.615	0.451
-1016868875	6.37545E+18	271.0032014	-0.3523006	0.412268341	21.16765022	22.61996269	-3.9	-5.1					13.268	12.665	12.46		1.452312469	8.502650223		0.808	0.205
-1016868872	6.37545E+18	271.168555	-0.358112094	0.431292236	21.62033081	22.32484818	0.4	-0.3					14.297	13.997	13.788		0.704517365	7.623330811		0.509	0.209
-1016868806	6.37545E+18	271.0235697	-0.402483469	0.428464621	21.70036697	23.83948898							13.097	12.55	12.334		2.139122009	9.150366974		0.763	0.216
-1016868795	6.37545E+18	271.0508227	-0.406597672	0.428464621	20.5342617	21.19879723	-10	-26.5					15.435	15.246	15.038		0.664535522	5.288261703		0.397	0.208
-1016875398	6.3756E+18	270.0042784	-1.743179937	0.645717919	18.42268181	21.50870895	17.8	6.1	13.562	12.577	12.324	12.017	11.275	11.034	10.756		3.086027145	7.388681808	6.098681808	0.519	0.278
-1016875284	6.3756E+18	270.1197235	-1.979941711	0.604097009	21.90946198	99							16.692	15.732	15.222		-100	6.177461975	-100	1.47	0.51
-1016875164	6.3756E+18	270.0118937	-2.191285547	0.661936879	20.84310341	23.48697281	3.3	14.4	13.234	11.741	11.242	10.667	9.123	8.374	8.23		2.6438694	12.46910341	9.601103409	0.893	0.144
-1016875041	6.3756E+18	270.1522718	-2.351401951	0.755346656	20.88944626	25.45925522							13.795	13.267	13.081		4.56980896	7.622446259	-100	0.714	0.186
-1016829807	2.56515E+18	276.6242169	1.916832046	1.37548399	22.84575844	99							15.926	15.292	15.004		-100	7.553758438	-100	0.922	0.288
-1016829800	2.56515E+18	276.6263504	1.946525216	1.360761523	22.93483353	25.38091278							15.014	14.204	14.016		2.446079254	8.730833527	-100	0.998	0.188
-1016829764	2.56515E+18	276.4417781	1.815982705	1.16022563	22.10957909	23.60806274	0.8	15.6	16.29	14.977	14.488		12.301	11.811	11.594		1.498483658	10.29857909	7.621579086	0.707	0.217
-1016829744	2.56515E+18	276.6778777	1.737841242	1.376039267	22.35280418	23.01847839							14.675	13.909	13.69		0.66567421	8.443804184	-100	0.985	0.219
-1016829741	2.56515E+18	276.5198908	1.722159119	1.286506295	20.68604469	23.48166275	0.3	0.8	14.668	13.49	13.019	12.508	10.901	10.524	10.291		2.795618057	10.16204469	7.667044693	0.61	0.233
-1016829698	2.56515E+18	276.5107228	1.588770889	1.328606129	21.36906433	22.84452438	4.1	6.3	11.477	9.286			5.116	3.936	3.708	1	1.475460052	17.43306433		1.408	0.228
-1016829678	2.56515E+18	276.5222931	1.531153914	1.296909809	22.14704895	99							12.744	12.164	12.037		-100	9.98304895	-100	0.707	0.127
-1016829639	2.56515E+18	276.4510172	1.51187321	1.330933571	22.04235077	99							16.098	15.403	15.233		-100	6.639350769	-100	0.865	0.17
-1016829799	2.56515E+18	276.1752237	1.951802657	1.065746427	22.75850868	23.64685822	0.3	-1.6	16.409	15.086	14.575	14.104	12.272	11.783	11.576		0.888349533	10.97550868	8.183508682	0.696	0.207
-1016829774	2.56515E+18	276.0103708	1.832402675	1.215411425	22.86471939	99							14.113	13.598	13.405		-100	9.266719391	-100	0.708	0.193
-1016899669	6.37545E+18	271.8584373	-2.032883265	1.330011368	20.17487144	22.33922768	-3.5	5.6	14.268	13.087	12.674	12.103	10.658	10.293	10.078		2.164356232	9.881871445	7.500871445	0.58	0.215
-1016899653	6.37545E+18	271.8872297	-2.229961226	1.370666981	20.859375	22.36009979	23.2	-2.1	13.83	12.675	12.182	11.693	10.278	9.685	9.495		1.500724792	11.174375	8.677375	0.783	0.19
-1016899650	6.37545E+18	272.0430759	-2.321806979	1.445789099	18.53219414	18.13042068	-17.5	-45.7	16.761	15.592	15.102	14.243	12.523	11.778	11.637		-0.401773453	6.754194138	3.430194138	0.886	0.141
-1016899623	6.37545E+18	271.9078807	-2.677412067	1.510778308	20.34657288	23.10036469	7.4	-16.8	12.329	10.851	10.3	9.603	7.872	7.189	7.013	1	2.753791809	13.15757288	10.04657288	0.859	0.176
-1016878693	6.37545E+18	272.3761693	-1.094472208	1.131427526	21.84477425	99							15.347	14.502	14.226		-100	7.342774246	-100	1.121	0.276
-1016878679	6.37545E+18	272.2735786	-1.219339662	1.170778036	18.53242111	23.44887352	-0.4	-7.1	13.803	12.928	12.597	11.918	9.648	8.392	7.982		4.916452408	10.14042111	5.935421112	1.666	0.41
-1016878654	6.37545E+18	272.6801117	-1.4094383	1.471309662	21.2934761	21.75057793							15.405	14.374	14.183		0.457101822	6.919476105	-100	1.222	0.191
-1016878643	6.37545E+18	272.8348802	-1.475783048	1.613745093	22.14883041	99							16.641	15.761	15.046		-100	6.387830414	-100	1.595	0.715
-1016878618	6.37545E+18	272.8945363	-1.594500145	1.57524693	22.08701134	99							16.204	15.368	14.668		-100	6.719011337	-100	1.536	0.7
-1016878605	6.37545E+18	272.8609588	-1.691236287	1.657254815	22.14180183	99							16.205	15.519	15.261		-100	6.622801834	-100	0.944	0.258
-1016878587	6.37545E+18	272.9265186	-1.790687226	1.635481	21.822155	23.3208313							14.298	13.226	12.948		1.4986763	8.596154999	-100	1.35	0.278
-1016875647	6.37545E+18	272.8691648	-0.517532918	0.746046066	22.07317352	99							15.944	15.116	14.954		-100	6.957173523	-100	0.99	0.162
-1016875641	6.37545E+18	272.968594	-0.533664281	0.746353149	21.8441925	99							15.789	15.347	14.86		-100	6.497192505	-100	0.929	0.487
-1016875225	6.3756E+18	270.3435033	-2.076491403	0.694345236	21.66927719	22.10770607	1.1	-3.1	13.592	11.794	11.307	10.739	9.171	8.553	8.346		0.438428879	13.11627719	10.36227719	0.825	0.207
-1016875170	6.3756E+18	270.3476713	-2.172446457	0.744712114	21.06147575	22.23663902	6	0.8					9.671	8.974	8.771		1.175163269	12.08747575		0.9	0.203
-1016875097	6.3756E+18	270.2490313	-2.27523218	0.764553428	21.53369713	26.05636597	8.5	-9.1	14.052	12.27	11.832	11.189	9.428	8.744	8.574		4.522668839	12.78969713	9.701697128	0.854	0.17
-1016875030	6.3756E+18	270.3074585	-2.391076912	0.800754488	20.22072411	22.12691116	-41.8	-14	13.082	11.498	10.975	10.351	8.799	8.155	7.981	1	1.906187057	12.06572411	9.245724106	0.818	0.174
-1016871985	6.37542E+18	270.2843885	-0.083733442	0.395161629	21.50186348	22.08071518	-43.2	3.2	16.7	15.505	15.091	14.561	13.534	12.963	12.772		0.5788517	8.53886348	6.41086348	0.762	0.191
-1016871903	6.37542E+18	270.2636812	-0.165562236	0.43764466	21.97137833	22.80067062							15.628	15.385	15.085		0.829292297	6.586378326	-100	0.543	0.3
-1016871820	6.37542E+18	270.2571071	-0.22917963	0.459806532	21.01483917	23.2703743	1.1	15.6	12.294	10.856	10.34	9.843	8.23	7.588	7.417	1	2.255535126	13.42683917	10.67483917	0.813	0.171
-1016876001	6.37545E+18	274.4046123	0.239522494	0.871465206	21.45057106	22.6791935							15.99	15.773	14.879		1.228622437	5.67757106	-100	1.111	0.894
-1016875916	6.37545E+18	274.2689935	-0.004954351	0.848763704	20.95345116	99							15.477	14.694	14.484		-100	6.259451157	-100	0.993	0.21
-1016872119	6.37542E+18	270.1672255	0.064959565	0.428268343	21.79348755	99							16.538	15.837	15.02		-100	5.956487549	-100	1.518	0.817
-1016872103	6.37542E+18	270.1837788	0.029581694	0.431038886	21.05030823	99							13.336	12.864	11.421		-100	8.186308228		1.915	1.443
